,worker_name,machine,start_time,end_time,machine_cpu_iowait,machine_cpu_kernel,machine_cpu_usr,machine_gpu,machine_load_1,machine_net_receive,machine_num_worker,machine_cpu
16345,338b07f9edd34ee65a5f706de14bd802e01d1f50d023435c0bcaebc341bd,64b3598645efb5324e66172f,2136156,2136194,,,,,,,,
16373,166dc69a7c52952aaba3d55b2c3a55a791beead5aa39e39683c22a6d67ed,64b3598645efb5324e66172f,2126956,2137733,,,,,,,,
16374,8381132294fe1f116914cf09db8cdd9b5f64b962a8b8a80851c210b5bb19,64b3598645efb5324e66172f,2134963,2135263,,,,,,,,
16423,0af514e2fab92e544a7134270d56bd94e4cdc3debade55a880ceb59a2a87,64b3598645efb5324e66172f,2128098,2134973,,,,,,,,
16471,afc0a8bf055a877d3c428c55495042b305a900723206bfb8aa5488bac617,64b3598645efb5324e66172f,2138250,2141647,,,,,,,,
16652,1735349da10e28acdabbc2ee60cd0b939b565fad58511d30943422a8f332,64b3598645efb5324e66172f,2106709,2169684,,,,,,,,
16653,529c90217817a1034b7bb6f00f0d1edc0921993d886271113f966b46487a,64b3598645efb5324e66172f,2133801,2134713,,,,,,,,
16654,faf5dcfd57a534cbed1a64cac52af4201193e4e9aaded4ea506ab2410e6b,64b3598645efb5324e66172f,2136649,2205468,,,,,,,,
16655,7203f043f27c36bddf55fa5e625ed7ce7165a0fbd6eefa0cc8a440b12472,64b3598645efb5324e66172f,2153014,2153394,,,,,,,,
17075,0e1a3fb26fa98f6122349c3a6009590c6ea577523b8cc3ab351bb7cac8f1,64b3598645efb5324e66172f,2137819,2137977,,,,,,,,
19596,fa5a4b6034d80935075e14ad5cf01a8a5a1a489926949509d37385dffb01,7c4d42a16e54f9bde6909d5b,2138130,2143793,,,,,,,,
19599,6a71e25bca657b80ed71b4b80e1d9877aa8062036572476bf5c678758bad,7c4d42a16e54f9bde6909d5b,2119981,2133989,,,,,,,,
19860,4c1c48f387b2ca55bd8487d2bc8038db5c53db8f100faf19d0ce5cb19224,7c4d42a16e54f9bde6909d5b,2142938,2165759,,,,,,,,
19881,00df19b2adc85312c04dbad9fb4c642725d4273a956726278bc98de654f4,7c4d42a16e54f9bde6909d5b,2134192,2293636,,,,,,,,
20024,6692ba9715a6510b0556b4b5c98f60fe931773295f37fa923ccc3b74b023,7c4d42a16e54f9bde6909d5b,2098529,2138466,,,,,,,,
20206,91caf34ea87154d4d432b2187cef6e5960762a97e04d8dbbd3c95317d284,7c4d42a16e54f9bde6909d5b,2106708,2169684,,,,,,,,
20207,8fdde56c22b6902d70c868f4d90a0f081743886debc104b41d62715ff883,7c4d42a16e54f9bde6909d5b,2138672,2142719,,,,,,,,
20208,4df4f3036bdff8d0df8123e4b52d1856592a12f78f682132255bddb9b3f0,7c4d42a16e54f9bde6909d5b,2153013,2153392,,,,,,,,
20362,a06f44cf80e2ce6379cb99791815f20970b4237d06f0d78fbe0ab9621fd6,7c4d42a16e54f9bde6909d5b,2117773,2141296,,,,,,,,
22838,cf3c229b73e4a772913c94d18ab1041b8c383395b399cb45ea3c30597a79,bb098219cbd23ff558c89ef5,2138131,2143950,,,,,,,,
22900,1e066408f03e3c1264d19964f4b7b05e2b99c5fdbc4bec426b914151b6d7,bb098219cbd23ff558c89ef5,2102007,2138116,,,,,,,,
23081,6abe0e76b9a6e7f15ec25964b23d6ef76623cf8683bd636616be1c3896a2,bb098219cbd23ff558c89ef5,2142938,2165757,,,,,,,,
23105,c31c39cdef440045733af7c6cc13bfb61fc7e9dfb7602651d72fc9db045f,bb098219cbd23ff558c89ef5,2127106,2177783,,,,,,,,
23142,7beab76d1704f1474c383bcb1cfb0808f3a9bc497d3e72e00112ad9ca584,bb098219cbd23ff558c89ef5,2104884,2144267,,,,,,,,
23156,584d069d8afad78a8e1457fd8570d6335af6ad340e16e593e7165b1775f1,bb098219cbd23ff558c89ef5,2138100,2138230,,,,,,,,
23207,881d7cfa6e15c8e942020d24292bad3d29b2bec29eea6a2f6be2d96c4ca9,bb098219cbd23ff558c89ef5,2152862,2152927,,,,,,,,
23240,879e16711ae7a1aa7eb5e6d15893d021d1346b0295a90ac889535c0e4f24,bb098219cbd23ff558c89ef5,2132948,2137062,,,,,,,,
23241,e761e5282bdcac75226a47b1133cc1b6116ef90bc84c4669a5f629f8de50,bb098219cbd23ff558c89ef5,2146849,2148383,,,,,,,,
23324,cd58e2792fae1d474c768f7b0d472ec9e651cab49408258a2801e15cafb0,bb098219cbd23ff558c89ef5,2128339,2182706,,,,,,,,
23325,923e91c76aee8c4e39fc68f668bc9460d9f53f83f206f9333e23943f8f14,bb098219cbd23ff558c89ef5,2138251,2141543,,,,,,,,
23436,ecf6c071428f3b5518bcf846d15e54aa72fa964bb3a9c3c5ad572551753f,bb098219cbd23ff558c89ef5,2149618,2150530,,,,,,,,
23437,26a235b763b0941746faa64ba84daf88890e24dfc75cbcb652bfb43f2dd0,bb098219cbd23ff558c89ef5,2157844,2296672,,,,,,,,
23503,f2bd9156d640d60fec0f3e56993663073aca55c2497c7eea24245ec9fa3f,bb098219cbd23ff558c89ef5,2144563,2144759,,,,,,,,
23504,d154eab96f09a6eeb47b83812de307d997bc80cef5423d8df4420d3210af,bb098219cbd23ff558c89ef5,2148965,2149004,,,,,,,,
23505,02306fda96846a5a01e148c9842144e114592c4b06d36d075450079bdcda,bb098219cbd23ff558c89ef5,2153013,2153397,,,,,,,,
23689,7aa1f92b9e5f7c1c602c28b8f7bcc536ca8279184da9137534f1f2f29305,bb098219cbd23ff558c89ef5,2154699,2155128,,,,,,,,
23804,617acf1a7204d11d09ac296ce0e6470fe22648fdc18d3bdafdb8757012b5,bb098219cbd23ff558c89ef5,2152089,2152494,,,,,,,,
25701,7a07afa2842b9a3450468fe559eda6f9c8bb468ba933adc0f3f2be315f28,20c6a25579c42480982daf72,2138130,2143211,,,,,,,,
25705,7b59660f3131b89dd7f64b9e4ae7158705d7b3bca7f7fabcfbde7b7cf35b,20c6a25579c42480982daf72,2119981,2134579,,,,,,,,
25738,6d5435f5334fb06cbf67e4ebbb9ce74714e7882cc13e915ae50cb86e2564,20c6a25579c42480982daf72,2134130,2135060,,,,,,,,
25773,4bfdd3c911ebc1d1325fe3046c00971b45d7199d67cc38cfaea9ffd363b5,20c6a25579c42480982daf72,2102006,2132765,,,,,,,,
25829,a6b677df61a88cba428ba201202684d4836a7a881fa6569d7141500ad2a4,20c6a25579c42480982daf72,2132356,2132369,,,,,,,,
25862,a81f1120bcd091394415acc50d4c7ad8e718a79b8b7cfa4b990493718b4f,20c6a25579c42480982daf72,2117604,2155942,,,,,,,,
26250,aff12cc011767ecd0b61fc1c6aa66ef53da1e18fdda4319a6f5f1998095b,20c6a25579c42480982daf72,2106477,2161173,,,,,,,,
26251,0f60075f62c96797294881082614d591ac10e6c5161468a54f6d7beb53c3,20c6a25579c42480982daf72,2133098,2133106,,,,,,,,
26252,bfb6cb2702835c30977af4ba43c9d7210619e5c12c120b71b8d8ec768193,20c6a25579c42480982daf72,2134702,2157014,,,,,,,,
26414,33e5d68d6dc557d42ce8ba6dee9d07d98085c5a3c953dd08fb7ff80af52a,20c6a25579c42480982daf72,2102568,2131591,,,,,,,,
26432,0b74524d6ee4017de8d992fbc78024fa50164f6c122b0696f02918865659,20c6a25579c42480982daf72,2153013,2153393,,,,,,,,
26433,ff4d024d62c4f5156815a4f2a3ce7f2665a0e52b943d78bd456802c051fd,20c6a25579c42480982daf72,2156397,2165460,,,,,,,,
26434,684a5a53a76d68244a156053f011993a1b12e4663c9612f572c6a5e9cd24,20c6a25579c42480982daf72,2157232,2160657,,,,,,,,
28784,c758dbb55dd94e48bd2d9f2aa07d79fac7e48e29e54d503b6726d0d0c571,3b127c8abb4f26e57b34af81,2120042,2140978,,,,,,,,
28785,c73e94510eee67217e5448c6309ce0b7655268265f4b38028310a15a4424,3b127c8abb4f26e57b34af81,2132467,2132883,,,,,,,,
28786,d39aff657b15cb568a6218e930c8b29516a8fc9d15831c1b56983a792f35,3b127c8abb4f26e57b34af81,2132468,2133751,,,,,,,,
28787,eee12a5808cf07bc4edc9f232e215163aa70541b8c38394cccc3c3dd7b4b,3b127c8abb4f26e57b34af81,2143690,2143803,,,,,,,,
28788,3a731fb05c36bc3c4e4a5248d27ad65f24188861cca7234c4577378aa8d9,3b127c8abb4f26e57b34af81,2143760,2161772,,,,,,,,
28901,028c3d10e2b31ab798f484b5de59a34b4ba1a2dc6f980d88849426d0ebc2,3b127c8abb4f26e57b34af81,2133591,2134764,,,,,,,,
28998,f3ac5766920dba1f1e5aee31e9397792f1797f4d1832c07ec7d93ed2a9e8,3b127c8abb4f26e57b34af81,2146076,2185554,,,,,,,,
29440,c47a11429da7f03d9e8a25e8bf197047676f976c41e6f2c48348319d192d,3b127c8abb4f26e57b34af81,2155824,2156259,,,,,,,,
